month,currency,usd_per_currency,source
1997-02,AED,0.2722900000,frankfurter.dev
1997-02,AUD,0.7676700000,frankfurter.dev
1997-02,CAD,0.7381800000,frankfurter.dev
1997-02,CNY,0.1205500000,frankfurter.dev
1997-02,CZK,0.0355100000,frankfurter.dev
1997-02,EUR,1.1597000000,frankfurter.dev
1997-02,GBP,1.6241000000,frankfurter.dev
1997-02,HKD,0.1290600000,frankfurter.dev
1997-02,IDR,0.0004200000,frankfurter.dev
1997-02,JPY,0.0081400000,frankfurter.dev
1997-02,KRW,0.0011500000,frankfurter.dev
1997-02,MYR,0.4023800000,frankfurter.dev
1997-02,THB,0.0385800000,frankfurter.dev
1997-02,TWD,0.0360000000,frankfurter.dev
1997-03,AED,0.2722900000,frankfurter.dev
1997-03,AUD,0.7878700000,frankfurter.dev
1997-03,CAD,0.7296800000,frankfurter.dev
1997-03,CNY,0.1205300000,frankfurter.dev
1997-03,CZK,0.0342100000,frankfurter.dev
1997-03,EUR,1.1438000000,frankfurter.dev
1997-03,GBP,1.6070000000,frankfurter.dev
1997-03,HKD,0.1291100000,frankfurter.dev
1997-03,IDR,0.0004200000,frankfurter.dev
1997-03,JPY,0.0081500000,frankfurter.dev
1997-03,KRW,0.0011400000,frankfurter.dev
1997-03,MYR,0.4038200000,frankfurter.dev
1997-03,THB,0.0385900000,frankfurter.dev
1997-03,TWD,0.0359300000,frankfurter.dev
1997-04,AED,0.2722900000,frankfurter.dev
1997-04,AUD,0.7788700000,frankfurter.dev
1997-04,CAD,0.7176800000,frankfurter.dev
1997-04,CNY,0.1205600000,frankfurter.dev
1997-04,CZK,0.0334900000,frankfurter.dev
1997-04,EUR,1.1414000000,frankfurter.dev
1997-04,GBP,1.6295000000,frankfurter.dev
1997-04,HKD,0.1290600000,frankfurter.dev
1997-04,IDR,0.0004100000,frankfurter.dev
1997-04,JPY,0.0079600000,frankfurter.dev
1997-04,KRW,0.0011200000,frankfurter.dev
1997-04,MYR,0.3998200000,frankfurter.dev
1997-04,THB,0.0384400000,frankfurter.dev
1997-04,TWD,0.0357800000,frankfurter.dev
1997-05,AED,0.2722900000,frankfurter.dev
1997-05,AUD,0.7747500000,frankfurter.dev
1997-05,CAD,0.7246300000,frankfurter.dev
1997-05,CNY,0.1205800000,frankfurter.dev
1997-05,CZK,0.0322400000,frankfurter.dev
1997-05,EUR,1.1449000000,frankfurter.dev
1997-05,GBP,1.6325000000,frankfurter.dev
1997-05,HKD,0.1291600000,frankfurter.dev
1997-05,IDR,0.0004100000,frankfurter.dev
1997-05,JPY,0.0084100000,frankfurter.dev
1997-05,KRW,0.0011200000,frankfurter.dev
1997-05,MYR,0.3991400000,frankfurter.dev
1997-05,THB,0.0387200000,frankfurter.dev
1997-05,TWD,0.0356400000,frankfurter.dev
1997-06,AED,0.2722900000,frankfurter.dev
1997-06,AUD,0.7540600000,frankfurter.dev
1997-06,CAD,0.7224300000,frankfurter.dev
1997-06,CNY,0.1206100000,frankfurter.dev
1997-06,CZK,0.0308900000,frankfurter.dev
1997-06,EUR,1.1318000000,frankfurter.dev
1997-06,GBP,1.6436000000,frankfurter.dev
1997-06,HKD,0.1291400000,frankfurter.dev
1997-06,IDR,0.0004100000,frankfurter.dev
1997-06,JPY,0.0087500000,frankfurter.dev
1997-06,KRW,0.0011200000,frankfurter.dev
1997-06,MYR,0.3978000000,frankfurter.dev
1997-06,THB,0.0402600000,frankfurter.dev
1997-06,TWD,0.0355100000,frankfurter.dev
1997-07,AED,0.2722900000,frankfurter.dev
1997-07,AUD,0.7422300000,frankfurter.dev
1997-07,CAD,0.7263700000,frankfurter.dev
1997-07,CNY,0.1205900000,frankfurter.dev
1997-07,CZK,0.0298100000,frankfurter.dev
1997-07,EUR,1.1022000000,frankfurter.dev
1997-07,GBP,1.6728000000,frankfurter.dev
1997-07,HKD,0.1291200000,frankfurter.dev
1997-07,IDR,0.0004000000,frankfurter.dev
1997-07,JPY,0.0086900000,frankfurter.dev
1997-07,KRW,0.0011200000,frankfurter.dev
1997-07,MYR,0.3886500000,frankfurter.dev
1997-07,THB,0.0338400000,frankfurter.dev
1997-07,TWD,0.0353500000,frankfurter.dev
1997-08,AED,0.2722900000,frankfurter.dev
1997-08,AUD,0.7410100000,frankfurter.dev
1997-08,CAD,0.7200200000,frankfurter.dev
1997-08,CNY,0.1206300000,frankfurter.dev
1997-08,CZK,0.0291900000,frankfurter.dev
1997-08,EUR,1.0676000000,frankfurter.dev
1997-08,GBP,1.6044000000,frankfurter.dev
1997-08,HKD,0.1291400000,frankfurter.dev
1997-08,IDR,0.0003700000,frankfurter.dev
1997-08,JPY,0.0084900000,frankfurter.dev
1997-08,KRW,0.0011200000,frankfurter.dev
1997-08,MYR,0.3638300000,frankfurter.dev
1997-08,THB,0.0312200000,frankfurter.dev
1997-08,TWD,0.0345000000,frankfurter.dev
1997-09,AED,0.2722900000,frankfurter.dev
1997-09,AUD,0.7241000000,frankfurter.dev
1997-09,CAD,0.7210500000,frankfurter.dev
1997-09,CNY,0.1206600000,frankfurter.dev
1997-09,CZK,0.0297500000,frankfurter.dev
1997-09,EUR,1.0968000000,frankfurter.dev
1997-09,GBP,1.6009000000,frankfurter.dev
1997-09,HKD,0.1291500000,frankfurter.dev
1997-09,IDR,0.0003400000,frankfurter.dev
1997-09,JPY,0.0082700000,frankfurter.dev
1997-09,KRW,0.0011000000,frankfurter.dev
1997-09,MYR,0.3322200000,frankfurter.dev
1997-09,THB,0.0283200000,frankfurter.dev
1997-09,TWD,0.0345600000,frankfurter.dev
1997-10,AED,0.2722900000,frankfurter.dev
1997-10,AUD,0.7215200000,frankfurter.dev
1997-10,CAD,0.7219700000,frankfurter.dev
1997-10,CNY,0.1207400000,frankfurter.dev
1997-10,CZK,0.0303800000,frankfurter.dev
1997-10,EUR,1.1181000000,frankfurter.dev
1997-10,GBP,1.6300000000,frankfurter.dev
1997-10,HKD,0.1292800000,frankfurter.dev
1997-10,IDR,0.0002800000,frankfurter.dev
1997-10,JPY,0.0082600000,frankfurter.dev
1997-10,KRW,0.0010800000,frankfurter.dev
1997-10,MYR,0.3048000000,frankfurter.dev
1997-10,THB,0.0268500000,frankfurter.dev
1997-10,TWD,0.0336900000,frankfurter.dev
1997-11,AED,0.2722900000,frankfurter.dev
1997-11,AUD,0.6951400000,frankfurter.dev
1997-11,CAD,0.7081600000,frankfurter.dev
1997-11,CNY,0.1207600000,frankfurter.dev
1997-11,CZK,0.0301800000,frankfurter.dev
1997-11,EUR,1.1424000000,frankfurter.dev
1997-11,GBP,1.6872000000,frankfurter.dev
1997-11,HKD,0.1293900000,frankfurter.dev
1997-11,IDR,0.0002900000,frankfurter.dev
1997-11,JPY,0.0080000000,frankfurter.dev
1997-11,KRW,0.0010000000,frankfurter.dev
1997-11,MYR,0.2951900000,frankfurter.dev
1997-11,THB,0.0256700000,frankfurter.dev
1997-11,TWD,0.0315500000,frankfurter.dev
1997-12,AED,0.2722900000,frankfurter.dev
1997-12,AUD,0.6627400000,frankfurter.dev
1997-12,CAD,0.7012900000,frankfurter.dev
1997-12,CNY,0.1207900000,frankfurter.dev
1997-12,CZK,0.0288100000,frankfurter.dev
1997-12,EUR,1.1136000000,frankfurter.dev
1997-12,GBP,1.6622000000,frankfurter.dev
1997-12,HKD,0.1291100000,frankfurter.dev
1997-12,IDR,0.0002100000,frankfurter.dev
1997-12,JPY,0.0077200000,frankfurter.dev
1997-12,KRW,0.0006700000,frankfurter.dev
1997-12,MYR,0.2645900000,frankfurter.dev
1997-12,THB,0.0226100000,frankfurter.dev
1997-12,TWD,0.0307000000,frankfurter.dev
1998-01,AED,0.2722900000,frankfurter.dev
1998-01,AUD,0.6548800000,frankfurter.dev
1998-01,CAD,0.6951000000,frankfurter.dev
1998-01,CNY,0.1207900000,frankfurter.dev
1998-01,CZK,0.0282800000,frankfurter.dev
1998-01,EUR,1.3611000000,frankfurter.dev
